#    L    TT             EE             BB             TE          
   233    0.55269E+04    0.12959E+01    0.15383E-01    0.35226E+02
   234    0.55187E+04    0.13420E+01    0.15521E-01    0.36863E+02
   235    0.55100E+04    0.13899E+01    0.15660E-01    0.38500E+02
   236    0.55007E+04    0.14398E+01    0.15799E-01    0.40139E+02
   237    0.54907E+04    0.14915E+01    0.15938E-01    0.41777E+02
   238    0.54802E+04    0.15454E+01    0.16078E-01    0.43416E+02
   239    0.54691E+04    0.16011E+01    0.16217E-01    0.45053E+02
   240    0.54573E+04    0.16587E+01    0.16356E-01    0.46687E+02
   241    0.54451E+04    0.17185E+01    0.16496E-01    0.48318E+02
   242    0.54323E+04    0.17802E+01    0.16636E-01    0.49947E+02
   243    0.54188E+04    0.18441E+01    0.16775E-01    0.51570E+02
   244    0.54048E+04    0.19099E+01    0.16915E-01    0.53190E+02
   245    0.53902E+04    0.19779E+01    0.17055E-01    0.54803E+02
   246    0.53751E+04    0.20479E+01    0.17194E-01    0.56411E+02
   247    0.53595E+04    0.21200E+01    0.17334E-01    0.58011E+02
   248    0.53433E+04    0.21944E+01    0.17473E-01    0.59603E+02
   249    0.53266E+04    0.22707E+01    0.17613E-01    0.61187E+02
   250    0.53094E+04    0.23494E+01    0.17752E-01    0.62762E+02
   251    0.52917E+04    0.24300E+01    0.17891E-01    0.64327E+02
   252    0.52733E+04    0.25129E+01    0.18031E-01    0.65882E+02
   253    0.52547E+04    0.25978E+01    0.18170E-01    0.67425E+02
   254    0.52354E+04    0.26850E+01    0.18308E-01    0.68957E+02
   255    0.52157E+04    0.27742E+01    0.18447E-01    0.70476E+02
   256    0.51955E+04    0.28659E+01    0.18585E-01    0.71983E+02
   257    0.51749E+04    0.29594E+01    0.18724E-01    0.73470E+02
   258    0.51537E+04    0.30553E+01    0.18862E-01    0.74950E+02
   259    0.51321E+04    0.31533E+01    0.18999E-01    0.76408E+02
   260    0.51101E+04    0.32535E+01    0.19137E-01    0.77858E+02
   261    0.50877E+04    0.33558E+01    0.19274E-01    0.79279E+02
   262    0.50647E+04    0.34604E+01    0.19411E-01    0.80693E+02
   263    0.50415E+04    0.35671E+01    0.19547E-01    0.82091E+02
   264    0.50178E+04    0.36760E+01    0.19683E-01    0.83468E+02
   265    0.49936E+04    0.37869E+01    0.19819E-01    0.84815E+02
   266    0.49691E+04    0.39002E+01    0.19955E-01    0.86154E+02
   267    0.49440E+04    0.40154E+01    0.20090E-01    0.87465E+02
   268    0.49186E+04    0.41329E+01    0.20224E-01    0.88760E+02
   269    0.48927E+04    0.42524E+01    0.20359E-01    0.90034E+02
   270    0.48665E+04    0.43741E+01    0.20493E-01    0.91285E+02
   271    0.48399E+04    0.44977E+01    0.20626E-01    0.92515E+02
   272    0.48131E+04    0.46237E+01    0.20759E-01    0.93715E+02
   273    0.47859E+04    0.47514E+01    0.20892E-01    0.94900E+02
   274    0.47584E+04    0.48814E+01    0.21024E-01    0.96049E+02
   275    0.47305E+04    0.50132E+01    0.21155E-01    0.97183E+02
   276    0.47023E+04    0.51470E+01    0.21287E-01    0.98280E+02
   277    0.46738E+04    0.52828E+01    0.21417E-01    0.99363E+02
   278    0.46450E+04    0.54206E+01    0.21547E-01    0.10041E+03
   279    0.46159E+04    0.55603E+01    0.21677E-01    0.10143E+03
   280    0.45866E+04    0.57018E+01    0.21806E-01    0.10243E+03
   281    0.45571E+04    0.58452E+01    0.21935E-01    0.10339E+03
   282    0.45271E+04    0.59904E+01    0.22063E-01    0.10433E+03
   283    0.44970E+04    0.61373E+01    0.22190E-01    0.10524E+03
   284    0.44667E+04    0.62861E+01    0.22317E-01    0.10612E+03
   285    0.44362E+04    0.64367E+01    0.22444E-01    0.10697E+03
   286    0.44054E+04    0.65890E+01    0.22570E-01    0.10778E+03
   287    0.43744E+04    0.67428E+01    0.22695E-01    0.10857E+03
   288    0.43432E+04    0.68984E+01    0.22820E-01    0.10932E+03
   289    0.43118E+04    0.70555E+01    0.22944E-01    0.11005E+03
   290    0.42803E+04    0.72140E+01    0.23068E-01    0.11074E+03
   291    0.42486E+04    0.73748E+01    0.23191E-01    0.11140E+03
   292    0.42165E+04    0.75365E+01    0.23313E-01    0.11203E+03
   293    0.41845E+04    0.76990E+01    0.23435E-01    0.11261E+03
   294    0.41522E+04    0.78636E+01    0.23556E-01    0.11318E+03
