#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   106    0.28262E+04   -0.26362E+02    0.37516E-05   -0.26362E+02    0.81329E+00   -0.60087E-08    0.37516E-05   -0.60087E-08    0.77982E-11
   107    0.28578E+04   -0.26990E+02    0.36722E-05   -0.26990E+02    0.82600E+00   -0.55848E-08    0.36722E-05   -0.55848E-08    0.76047E-11
   108    0.28898E+04   -0.27615E+02    0.35950E-05   -0.27615E+02    0.83849E+00   -0.51938E-08    0.35950E-05   -0.51938E-08    0.74174E-11
   109    0.29219E+04   -0.28237E+02    0.35199E-05   -0.28237E+02    0.85069E+00   -0.48458E-08    0.35199E-05   -0.48458E-08    0.72358E-11
   110    0.29541E+04   -0.28854E+02    0.34467E-05   -0.28854E+02    0.86260E+00   -0.45510E-08    0.34467E-05   -0.45510E-08    0.70596E-11
   111    0.29865E+04   -0.29467E+02    0.33754E-05   -0.29467E+02    0.87430E+00   -0.43172E-08    0.33754E-05   -0.43172E-08    0.68886E-11
   112    0.30190E+04   -0.30075E+02    0.33058E-05   -0.30075E+02    0.88571E+00   -0.41423E-08    0.33058E-05   -0.41423E-08    0.67225E-11
   113    0.30518E+04   -0.30678E+02    0.32380E-05   -0.30678E+02    0.89684E+00   -0.40217E-08    0.32380E-05   -0.40217E-08    0.65613E-11
   114    0.30846E+04   -0.31275E+02    0.31719E-05   -0.31275E+02    0.90760E+00   -0.39511E-08    0.31719E-05   -0.39511E-08    0.64048E-11
   115    0.31176E+04   -0.31864E+02    0.31075E-05   -0.31864E+02    0.91815E+00   -0.39257E-08    0.31075E-05   -0.39257E-08    0.62529E-11
   116    0.31506E+04   -0.32446E+02    0.30447E-05   -0.32446E+02    0.92826E+00   -0.39412E-08    0.30447E-05   -0.39412E-08    0.61055E-11
   117    0.31840E+04   -0.33020E+02    0.29836E-05   -0.33020E+02    0.93802E+00   -0.39929E-08    0.29836E-05   -0.39929E-08    0.59624E-11
   118    0.32174E+04   -0.33587E+02    0.29239E-05   -0.33587E+02    0.94756E+00   -0.40765E-08    0.29239E-05   -0.40765E-08    0.58235E-11
   119    0.32509E+04   -0.34144E+02    0.28659E-05   -0.34144E+02    0.95675E+00   -0.41873E-08    0.28659E-05   -0.41873E-08    0.56887E-11
   120    0.32844E+04   -0.34691E+02    0.28093E-05   -0.34691E+02    0.96542E+00   -0.43209E-08    0.28093E-05   -0.43209E-08    0.55579E-11
   121    0.33180E+04   -0.35228E+02    0.27541E-05   -0.35228E+02    0.97389E+00   -0.44727E-08    0.27541E-05   -0.44727E-08    0.54309E-11
   122    0.33517E+04   -0.35755E+02    0.27004E-05   -0.35755E+02    0.98185E+00   -0.46382E-08    0.27004E-05   -0.46382E-08    0.53076E-11
   123    0.33854E+04   -0.36272E+02    0.26481E-05   -0.36272E+02    0.98937E+00   -0.48129E-08    0.26481E-05   -0.48129E-08    0.51879E-11
   124    0.34191E+04   -0.36775E+02    0.25972E-05   -0.36775E+02    0.99654E+00   -0.49923E-08    0.25972E-05   -0.49923E-08    0.50717E-11
   125    0.34529E+04   -0.37266E+02    0.25475E-05   -0.37266E+02    0.10033E+01   -0.51718E-08    0.25475E-05   -0.51718E-08    0.49589E-11
   126    0.34867E+04   -0.37746E+02    0.24992E-05   -0.37746E+02    0.10097E+01   -0.53470E-08    0.24992E-05   -0.53470E-08    0.48492E-11
   127    0.35205E+04   -0.38213E+02    0.24521E-05   -0.38213E+02    0.10155E+01   -0.55134E-08    0.24521E-05   -0.55134E-08    0.47427E-11
   128    0.35543E+04   -0.38666E+02    0.24062E-05   -0.38666E+02    0.10210E+01   -0.56663E-08    0.24062E-05   -0.56663E-08    0.46391E-11
   129    0.35881E+04   -0.39105E+02    0.23615E-05   -0.39105E+02    0.10261E+01   -0.58013E-08    0.23615E-05   -0.58013E-08    0.45383E-11
   130    0.36219E+04   -0.39529E+02    0.23179E-05   -0.39529E+02    0.10306E+01   -0.59139E-08    0.23179E-05   -0.59139E-08    0.44403E-11
   131    0.36557E+04   -0.39939E+02    0.22754E-05   -0.39939E+02    0.10347E+01   -0.60007E-08    0.22754E-05   -0.60007E-08    0.43449E-11
   132    0.36896E+04   -0.40333E+02    0.22340E-05   -0.40333E+02    0.10384E+01   -0.60622E-08    0.22340E-05   -0.60622E-08    0.42520E-11
   133    0.37233E+04   -0.40712E+02    0.21937E-05   -0.40712E+02    0.10416E+01   -0.61002E-08    0.21937E-05   -0.61002E-08    0.41616E-11
   134    0.37571E+04   -0.41073E+02    0.21544E-05   -0.41073E+02    0.10444E+01   -0.61164E-08    0.21544E-05   -0.61164E-08    0.40736E-11
   135    0.37908E+04   -0.41418E+02    0.21161E-05   -0.41418E+02    0.10467E+01   -0.61126E-08    0.21161E-05   -0.61126E-08    0.39880E-11
   136    0.38244E+04   -0.41743E+02    0.20787E-05   -0.41743E+02    0.10484E+01   -0.60906E-08    0.20787E-05   -0.60906E-08    0.39046E-11
   137    0.38579E+04   -0.42052E+02    0.20422E-05   -0.42052E+02    0.10498E+01   -0.60519E-08    0.20422E-05   -0.60519E-08    0.38235E-11
   138    0.38914E+04   -0.42342E+02    0.20067E-05   -0.42342E+02    0.10506E+01   -0.59984E-08    0.20067E-05   -0.59984E-08    0.37445E-11
   139    0.39246E+04   -0.42613E+02    0.19720E-05   -0.42613E+02    0.10512E+01   -0.59318E-08    0.19720E-05   -0.59318E-08    0.36676E-11
   140    0.39579E+04   -0.42865E+02    0.19382E-05   -0.42865E+02    0.10511E+01   -0.58538E-08    0.19382E-05   -0.58538E-08    0.35928E-11
   141    0.39910E+04   -0.43096E+02    0.19051E-05   -0.43096E+02    0.10505E+01   -0.57661E-08    0.19051E-05   -0.57661E-08    0.35199E-11
   142    0.40241E+04   -0.43308E+02    0.18729E-05   -0.43308E+02    0.10495E+01   -0.56705E-08    0.18729E-05   -0.56705E-08    0.34489E-11
   143    0.40570E+04   -0.43500E+02    0.18414E-05   -0.43500E+02    0.10481E+01   -0.55687E-08    0.18414E-05   -0.55687E-08    0.33798E-11
   144    0.40898E+04   -0.43671E+02    0.18106E-05   -0.43671E+02    0.10461E+01   -0.54624E-08    0.18106E-05   -0.54624E-08    0.33125E-11
   145    0.41224E+04   -0.43821E+02    0.17805E-05   -0.43821E+02    0.10439E+01   -0.53533E-08    0.17805E-05   -0.53533E-08    0.32469E-11
   146    0.41551E+04   -0.43950E+02    0.17511E-05   -0.43950E+02    0.10410E+01   -0.52432E-08    0.17511E-05   -0.52432E-08    0.31830E-11
   147    0.41874E+04   -0.44056E+02    0.17223E-05   -0.44056E+02    0.10378E+01   -0.51338E-08    0.17223E-05   -0.51338E-08    0.31206E-11
   148    0.42195E+04   -0.44141E+02    0.16941E-05   -0.44141E+02    0.10341E+01   -0.50269E-08    0.16941E-05   -0.50269E-08    0.30598E-11
   149    0.42516E+04   -0.44203E+02    0.16664E-05   -0.44203E+02    0.10300E+01   -0.49241E-08    0.16664E-05   -0.49241E-08    0.30005E-11
   150    0.42834E+04   -0.44241E+02    0.16393E-05   -0.44241E+02    0.10255E+01   -0.48272E-08    0.16393E-05   -0.48272E-08    0.29426E-11
   151    0.43151E+04   -0.44257E+02    0.16127E-05   -0.44257E+02    0.10206E+01   -0.47375E-08    0.16127E-05   -0.47375E-08    0.28860E-11
   152    0.43464E+04   -0.44249E+02    0.15866E-05   -0.44249E+02    0.10152E+01   -0.46550E-08    0.15866E-05   -0.46550E-08    0.28308E-11
   153    0.43777E+04   -0.44216E+02    0.15610E-05   -0.44216E+02    0.10094E+01   -0.45792E-08    0.15610E-05   -0.45792E-08    0.27769E-11
   154    0.44086E+04   -0.44160E+02    0.15359E-05   -0.44160E+02    0.10034E+01   -0.45095E-08    0.15359E-05   -0.45095E-08    0.27242E-11
   155    0.44394E+04   -0.44080E+02    0.15113E-05   -0.44080E+02    0.99690E+00   -0.44455E-08    0.15113E-05   -0.44455E-08    0.26728E-11
   156    0.44698E+04   -0.43976E+02    0.14872E-05   -0.43976E+02    0.99010E+00   -0.43868E-08    0.14872E-05   -0.43868E-08    0.26226E-11
   157    0.45002E+04   -0.43846E+02    0.14635E-05   -0.43846E+02    0.98295E+00   -0.43328E-08    0.14635E-05   -0.43328E-08    0.25736E-11
   158    0.45302E+04   -0.43691E+02    0.14402E-05   -0.43691E+02    0.97552E+00   -0.42831E-08    0.14402E-05   -0.42831E-08    0.25257E-11
   159    0.45599E+04   -0.43512E+02    0.14175E-05   -0.43512E+02    0.96767E+00   -0.42372E-08    0.14175E-05   -0.42372E-08    0.24790E-11
   160    0.45894E+04   -0.43306E+02    0.13951E-05   -0.43306E+02    0.95954E+00   -0.41946E-08    0.13951E-05   -0.41946E-08    0.24334E-11
   161    0.46187E+04   -0.43076E+02    0.13732E-05   -0.43076E+02    0.95120E+00   -0.41548E-08    0.13732E-05   -0.41548E-08    0.23889E-11
   162    0.46477E+04   -0.42820E+02    0.13518E-05   -0.42820E+02    0.94251E+00   -0.41174E-08    0.13518E-05   -0.41174E-08    0.23454E-11
   163    0.46765E+04   -0.42539E+02    0.13307E-05   -0.42539E+02    0.93355E+00   -0.40819E-08    0.13307E-05   -0.40819E-08    0.23030E-11
   164    0.47049E+04   -0.42232E+02    0.13101E-05   -0.42232E+02    0.92438E+00   -0.40478E-08    0.13101E-05   -0.40478E-08    0.22615E-11
   165    0.47331E+04   -0.41899E+02    0.12899E-05   -0.41899E+02    0.91492E+00   -0.40147E-08    0.12899E-05   -0.40147E-08    0.22211E-11
   166    0.47611E+04   -0.41540E+02    0.12700E-05   -0.41540E+02    0.90534E+00   -0.39820E-08    0.12700E-05   -0.39820E-08    0.21816E-11
   167    0.47888E+04   -0.41156E+02    0.12506E-05   -0.41156E+02    0.89540E+00   -0.39493E-08    0.12506E-05   -0.39493E-08    0.21429E-11
   168    0.48160E+04   -0.40745E+02    0.12315E-05   -0.40745E+02    0.88548E+00   -0.39161E-08    0.12315E-05   -0.39161E-08    0.21052E-11
   169    0.48430E+04   -0.40307E+02    0.12129E-05   -0.40307E+02    0.87528E+00   -0.38820E-08    0.12129E-05   -0.38820E-08    0.20684E-11
   170    0.48696E+04   -0.39843E+02    0.11946E-05   -0.39843E+02    0.86502E+00   -0.38464E-08    0.11946E-05   -0.38464E-08    0.20324E-11
   171    0.48958E+04   -0.39352E+02    0.11766E-05   -0.39352E+02    0.85471E+00   -0.38088E-08    0.11766E-05   -0.38088E-08    0.19972E-11
   172    0.49216E+04   -0.38834E+02    0.11590E-05   -0.38834E+02    0.84426E+00   -0.37689E-08    0.11590E-05   -0.37689E-08    0.19627E-11
   173    0.49469E+04   -0.38290E+02    0.11418E-05   -0.38290E+02    0.83367E+00   -0.37261E-08    0.11418E-05   -0.37261E-08    0.19291E-11
   174    0.49719E+04   -0.37719E+02    0.11249E-05   -0.37719E+02    0.82325E+00   -0.36799E-08    0.11249E-05   -0.36799E-08    0.18961E-11
   175    0.49966E+04   -0.37122E+02    0.11083E-05   -0.37122E+02    0.81269E+00   -0.36299E-08    0.11083E-05   -0.36299E-08    0.18639E-11
   176    0.50207E+04   -0.36497E+02    0.10921E-05   -0.36497E+02    0.80223E+00   -0.35757E-08    0.10921E-05   -0.35757E-08    0.18323E-11
   177    0.50444E+04   -0.35847E+02    0.10762E-05   -0.35847E+02    0.79178E+00   -0.35174E-08    0.10762E-05   -0.35174E-08    0.18015E-11
   178    0.50677E+04   -0.35169E+02    0.10606E-05   -0.35169E+02    0.78156E+00   -0.34553E-08    0.10606E-05   -0.34553E-08    0.17712E-11
