#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1102    0.11572E+04   -0.71642E+02    0.12344E-09   -0.71642E+02    0.18049E+02    0.29171E-09    0.12344E-09    0.29171E-09    0.31247E-14
  1103    0.11594E+04   -0.71018E+02    0.11839E-09   -0.71018E+02    0.17805E+02    0.28721E-09    0.11839E-09    0.28721E-09    0.31133E-14
  1104    0.11615E+04   -0.70376E+02    0.11358E-09   -0.70376E+02    0.17565E+02    0.28270E-09    0.11358E-09    0.28270E-09    0.31019E-14
  1105    0.11636E+04   -0.69719E+02    0.10900E-09   -0.69719E+02    0.17328E+02    0.27820E-09    0.10900E-09    0.27820E-09    0.30906E-14
  1106    0.11656E+04   -0.69044E+02    0.10465E-09   -0.69044E+02    0.17093E+02    0.27370E-09    0.10465E-09    0.27370E-09    0.30793E-14
  1107    0.11676E+04   -0.68353E+02    0.10053E-09   -0.68353E+02    0.16862E+02    0.26919E-09    0.10053E-09    0.26919E-09    0.30681E-14
  1108    0.11695E+04   -0.67647E+02    0.96637E-10   -0.67647E+02    0.16635E+02    0.26469E-09    0.96637E-10    0.26469E-09    0.30570E-14
  1109    0.11712E+04   -0.66925E+02    0.92970E-10   -0.66925E+02    0.16409E+02    0.26019E-09    0.92970E-10    0.26019E-09    0.30459E-14
  1110    0.11730E+04   -0.66189E+02    0.89526E-10   -0.66189E+02    0.16189E+02    0.25568E-09    0.89526E-10    0.25568E-09    0.30348E-14
  1111    0.11746E+04   -0.65438E+02    0.86303E-10   -0.65438E+02    0.15973E+02    0.25118E-09    0.86303E-10    0.25118E-09    0.30238E-14
  1112    0.11763E+04   -0.64673E+02    0.83299E-10   -0.64673E+02    0.15760E+02    0.24668E-09    0.83299E-10    0.24668E-09    0.30128E-14
  1113    0.11778E+04   -0.63894E+02    0.80511E-10   -0.63894E+02    0.15552E+02    0.24219E-09    0.80511E-10    0.24219E-09    0.30019E-14
  1114    0.11792E+04   -0.63102E+02    0.77938E-10   -0.63102E+02    0.15347E+02    0.23769E-09    0.77938E-10    0.23769E-09    0.29911E-14
  1115    0.11806E+04   -0.62298E+02    0.75577E-10   -0.62298E+02    0.15147E+02    0.23320E-09    0.75577E-10    0.23320E-09    0.29802E-14
  1116    0.11820E+04   -0.61481E+02    0.73426E-10   -0.61481E+02    0.14951E+02    0.22871E-09    0.73426E-10    0.22871E-09    0.29695E-14
  1117    0.11832E+04   -0.60652E+02    0.71483E-10   -0.60652E+02    0.14759E+02    0.22423E-09    0.71483E-10    0.22423E-09    0.29587E-14
  1118    0.11843E+04   -0.59811E+02    0.69746E-10   -0.59811E+02    0.14572E+02    0.21975E-09    0.69746E-10    0.21975E-09    0.29480E-14
  1119    0.11854E+04   -0.58959E+02    0.68212E-10   -0.58959E+02    0.14389E+02    0.21528E-09    0.68212E-10    0.21528E-09    0.29374E-14
  1120    0.11864E+04   -0.58096E+02    0.66880E-10   -0.58096E+02    0.14210E+02    0.21081E-09    0.66880E-10    0.21081E-09    0.29268E-14
  1121    0.11873E+04   -0.57222E+02    0.65748E-10   -0.57222E+02    0.14036E+02    0.20634E-09    0.65748E-10    0.20634E-09    0.29163E-14
  1122    0.11882E+04   -0.56339E+02    0.64812E-10   -0.56339E+02    0.13866E+02    0.20189E-09    0.64812E-10    0.20189E-09    0.29058E-14
  1123    0.11889E+04   -0.55446E+02    0.64072E-10   -0.55446E+02    0.13701E+02    0.19743E-09    0.64072E-10    0.19743E-09    0.28953E-14
  1124    0.11896E+04   -0.54544E+02    0.63525E-10   -0.54544E+02    0.13540E+02    0.19299E-09    0.63525E-10    0.19299E-09    0.28849E-14
  1125    0.11901E+04   -0.53632E+02    0.63169E-10   -0.53632E+02    0.13384E+02    0.18855E-09    0.63169E-10    0.18855E-09    0.28746E-14
  1126    0.11906E+04   -0.52713E+02    0.63001E-10   -0.52713E+02    0.13233E+02    0.18412E-09    0.63001E-10    0.18412E-09    0.28643E-14
  1127    0.11910E+04   -0.51786E+02    0.63019E-10   -0.51786E+02    0.13086E+02    0.17970E-09    0.63019E-10    0.17970E-09    0.28540E-14
  1128    0.11914E+04   -0.50853E+02    0.63222E-10   -0.50853E+02    0.12945E+02    0.17529E-09    0.63222E-10    0.17529E-09    0.28438E-14
  1129    0.11917E+04   -0.49911E+02    0.63608E-10   -0.49911E+02    0.12808E+02    0.17088E-09    0.63608E-10    0.17088E-09    0.28336E-14
  1130    0.11917E+04   -0.48963E+02    0.64173E-10   -0.48963E+02    0.12676E+02    0.16649E-09    0.64173E-10    0.16649E-09    0.28235E-14
  1131    0.11919E+04   -0.48011E+02    0.64917E-10   -0.48011E+02    0.12549E+02    0.16211E-09    0.64917E-10    0.16211E-09    0.28134E-14
  1132    0.11918E+04   -0.47051E+02    0.65836E-10   -0.47051E+02    0.12427E+02    0.15773E-09    0.65836E-10    0.15773E-09    0.28033E-14
  1133    0.11917E+04   -0.46087E+02    0.66928E-10   -0.46087E+02    0.12310E+02    0.15337E-09    0.66928E-10    0.15337E-09    0.27933E-14
  1134    0.11915E+04   -0.45118E+02    0.68193E-10   -0.45118E+02    0.12198E+02    0.14902E-09    0.68193E-10    0.14902E-09    0.27833E-14
  1135    0.11912E+04   -0.44144E+02    0.69626E-10   -0.44144E+02    0.12091E+02    0.14467E-09    0.69626E-10    0.14467E-09    0.27734E-14
  1136    0.11909E+04   -0.43168E+02    0.71227E-10   -0.43168E+02    0.11989E+02    0.14035E-09    0.71227E-10    0.14035E-09    0.27635E-14
  1137    0.11904E+04   -0.42187E+02    0.72993E-10   -0.42187E+02    0.11891E+02    0.13603E-09    0.72993E-10    0.13603E-09    0.27537E-14
  1138    0.11899E+04   -0.41204E+02    0.74922E-10   -0.41204E+02    0.11801E+02    0.13172E-09    0.74922E-10    0.13172E-09    0.27439E-14
  1139    0.11893E+04   -0.40217E+02    0.77012E-10   -0.40217E+02    0.11713E+02    0.12743E-09    0.77012E-10    0.12743E-09    0.27342E-14
  1140    0.11886E+04   -0.39229E+02    0.79260E-10   -0.39229E+02    0.11632E+02    0.12316E-09    0.79260E-10    0.12316E-09    0.27245E-14
  1141    0.11878E+04   -0.38239E+02    0.81664E-10   -0.38239E+02    0.11554E+02    0.11889E-09    0.81664E-10    0.11889E-09    0.27148E-14
  1142    0.11869E+04   -0.37248E+02    0.84224E-10   -0.37248E+02    0.11483E+02    0.11465E-09    0.84224E-10    0.11465E-09    0.27052E-14
  1143    0.11859E+04   -0.36257E+02    0.86935E-10   -0.36257E+02    0.11416E+02    0.11041E-09    0.86935E-10    0.11041E-09    0.26956E-14
  1144    0.11848E+04   -0.35265E+02    0.89796E-10   -0.35265E+02    0.11355E+02    0.10619E-09    0.89796E-10    0.10619E-09    0.26860E-14
  1145    0.11837E+04   -0.34273E+02    0.92805E-10   -0.34273E+02    0.11299E+02    0.10199E-09    0.92805E-10    0.10199E-09    0.26765E-14
  1146    0.11824E+04   -0.33282E+02    0.95960E-10   -0.33282E+02    0.11248E+02    0.97807E-10    0.95960E-10    0.97807E-10    0.26671E-14
  1147    0.11811E+04   -0.32291E+02    0.99259E-10   -0.32291E+02    0.11202E+02    0.93637E-10    0.99259E-10    0.93637E-10    0.26577E-14
  1148    0.11797E+04   -0.31302E+02    0.10270E-09   -0.31302E+02    0.11161E+02    0.89485E-10    0.10270E-09    0.89485E-10    0.26483E-14
  1149    0.11782E+04   -0.30316E+02    0.10628E-09   -0.30316E+02    0.11126E+02    0.85350E-10    0.10628E-09    0.85350E-10    0.26389E-14
  1150    0.11766E+04   -0.29331E+02    0.11000E-09   -0.29331E+02    0.11095E+02    0.81233E-10    0.11000E-09    0.81233E-10    0.26296E-14
  1151    0.11750E+04   -0.28349E+02    0.11385E-09   -0.28349E+02    0.11070E+02    0.77135E-10    0.11385E-09    0.77135E-10    0.26204E-14
  1152    0.11731E+04   -0.27370E+02    0.11783E-09   -0.27370E+02    0.11049E+02    0.73054E-10    0.11783E-09    0.73054E-10    0.26111E-14
  1153    0.11714E+04   -0.26396E+02    0.12195E-09   -0.26396E+02    0.11034E+02    0.68992E-10    0.12195E-09    0.68992E-10    0.26020E-14
  1154    0.11695E+04   -0.25424E+02    0.12620E-09   -0.25424E+02    0.11025E+02    0.64949E-10    0.12620E-09    0.64949E-10    0.25928E-14
  1155    0.11675E+04   -0.24456E+02    0.13057E-09   -0.24456E+02    0.11020E+02    0.60925E-10    0.13057E-09    0.60925E-10    0.25837E-14
  1156    0.11654E+04   -0.23494E+02    0.13508E-09   -0.23494E+02    0.11019E+02    0.56919E-10    0.13508E-09    0.56919E-10    0.25746E-14
  1157    0.11632E+04   -0.22537E+02    0.13970E-09   -0.22537E+02    0.11024E+02    0.52931E-10    0.13970E-09    0.52931E-10    0.25656E-14
  1158    0.11610E+04   -0.21586E+02    0.14446E-09   -0.21586E+02    0.11034E+02    0.48963E-10    0.14446E-09    0.48963E-10    0.25566E-14
  1159    0.11587E+04   -0.20640E+02    0.14933E-09   -0.20640E+02    0.11049E+02    0.45014E-10    0.14933E-09    0.45014E-10    0.25477E-14
  1160    0.11563E+04   -0.19702E+02    0.15433E-09   -0.19702E+02    0.11069E+02    0.41083E-10    0.15433E-09    0.41083E-10    0.25387E-14
  1161    0.11538E+04   -0.18769E+02    0.15944E-09   -0.18769E+02    0.11094E+02    0.37172E-10    0.15944E-09    0.37172E-10    0.25299E-14
  1162    0.11513E+04   -0.17845E+02    0.16467E-09   -0.17845E+02    0.11124E+02    0.33280E-10    0.16467E-09    0.33280E-10    0.25210E-14
  1163    0.11486E+04   -0.16928E+02    0.17002E-09   -0.16928E+02    0.11158E+02    0.29407E-10    0.17002E-09    0.29407E-10    0.25122E-14
  1164    0.11460E+04   -0.16019E+02    0.17549E-09   -0.16019E+02    0.11198E+02    0.25553E-10    0.17549E-09    0.25553E-10    0.25034E-14
  1165    0.11432E+04   -0.15118E+02    0.18106E-09   -0.15118E+02    0.11243E+02    0.21719E-10    0.18106E-09    0.21719E-10    0.24947E-14
  1166    0.11403E+04   -0.14226E+02    0.18675E-09   -0.14226E+02    0.11292E+02    0.17904E-10    0.18675E-09    0.17904E-10    0.24860E-14
  1167    0.11374E+04   -0.13344E+02    0.19255E-09   -0.13344E+02    0.11345E+02    0.14109E-10    0.19255E-09    0.14109E-10    0.24774E-14
  1168    0.11344E+04   -0.12470E+02    0.19845E-09   -0.12470E+02    0.11404E+02    0.10333E-10    0.19845E-09    0.10333E-10    0.24687E-14
  1169    0.11314E+04   -0.11607E+02    0.20446E-09   -0.11607E+02    0.11467E+02    0.65775E-11    0.20446E-09    0.65775E-11    0.24602E-14
  1170    0.11283E+04   -0.10754E+02    0.21058E-09   -0.10754E+02    0.11535E+02    0.28413E-11    0.21058E-09    0.28413E-11    0.24516E-14
  1171    0.11251E+04   -0.99115E+01    0.21680E-09   -0.99115E+01    0.11607E+02   -0.87513E-12    0.21680E-09   -0.87513E-12    0.24431E-14
  1172    0.11218E+04   -0.90801E+01    0.22312E-09   -0.90801E+01    0.11684E+02   -0.45716E-11    0.22312E-09   -0.45716E-11    0.24346E-14
  1173    0.11185E+04   -0.82595E+01    0.22954E-09   -0.82595E+01    0.11765E+02   -0.82481E-11    0.22954E-09   -0.82481E-11    0.24262E-14
  1174    0.11151E+04   -0.74509E+01    0.23606E-09   -0.74509E+01    0.11850E+02   -0.11905E-10    0.23606E-09   -0.11905E-10    0.24178E-14
  1175    0.11117E+04   -0.66541E+01    0.24268E-09   -0.66541E+01    0.11940E+02   -0.15541E-10    0.24268E-09   -0.15541E-10    0.24094E-14
  1176    0.11081E+04   -0.58699E+01    0.24939E-09   -0.58699E+01    0.12033E+02   -0.19157E-10    0.24939E-09   -0.19157E-10    0.24011E-14
  1177    0.11045E+04   -0.50980E+01    0.25620E-09   -0.50980E+01    0.12132E+02   -0.22753E-10    0.25620E-09   -0.22753E-10    0.23928E-14
  1178    0.11008E+04   -0.43388E+01    0.26309E-09   -0.43388E+01    0.12234E+02   -0.26328E-10    0.26309E-09   -0.26328E-10    0.23845E-14
  1179    0.10972E+04   -0.35928E+01    0.27008E-09   -0.35928E+01    0.12342E+02   -0.29883E-10    0.27008E-09   -0.29883E-10    0.23763E-14
  1180    0.10934E+04   -0.28601E+01    0.27716E-09   -0.28601E+01    0.12453E+02   -0.33418E-10    0.27716E-09   -0.33418E-10    0.23681E-14
  1181    0.10897E+04   -0.21410E+01    0.28433E-09   -0.21410E+01    0.12567E+02   -0.36932E-10    0.28433E-09   -0.36932E-10    0.23599E-14
  1182    0.10857E+04   -0.14360E+01    0.29158E-09   -0.14360E+01    0.12686E+02   -0.40425E-10    0.29158E-09   -0.40425E-10    0.23518E-14
  1183    0.10818E+04   -0.74506E+00    0.29891E-09   -0.74506E+00    0.12808E+02   -0.43898E-10    0.29891E-09   -0.43898E-10    0.23437E-14
  1184    0.10778E+04   -0.68663E-01    0.30633E-09   -0.68663E-01    0.12934E+02   -0.47350E-10    0.30633E-09   -0.47350E-10    0.23356E-14
  1185    0.10738E+04    0.59313E+00    0.31383E-09    0.59313E+00    0.13064E+02   -0.50780E-10    0.31383E-09   -0.50780E-10    0.23276E-14
  1186    0.10698E+04    0.12399E+01    0.32141E-09    0.12399E+01    0.13198E+02   -0.54190E-10    0.32141E-09   -0.54190E-10    0.23196E-14
  1187    0.10657E+04    0.18714E+01    0.32907E-09    0.18714E+01    0.13335E+02   -0.57579E-10    0.32907E-09   -0.57579E-10    0.23116E-14
  1188    0.10615E+04    0.24874E+01    0.33680E-09    0.24874E+01    0.13475E+02   -0.60947E-10    0.33680E-09   -0.60947E-10    0.23037E-14
  1189    0.10573E+04    0.30880E+01    0.34461E-09    0.30880E+01    0.13619E+02   -0.64294E-10    0.34461E-09   -0.64294E-10    0.22958E-14
  1190    0.10530E+04    0.36726E+01    0.35249E-09    0.36726E+01    0.13766E+02   -0.67619E-10    0.35249E-09   -0.67619E-10    0.22879E-14
  1191    0.10487E+04    0.42413E+01    0.36044E-09    0.42413E+01    0.13916E+02   -0.70923E-10    0.36044E-09   -0.70923E-10    0.22801E-14
  1192    0.10444E+04    0.47937E+01    0.36847E-09    0.47937E+01    0.14070E+02   -0.74206E-10    0.36847E-09   -0.74206E-10    0.22723E-14
  1193    0.10400E+04    0.53298E+01    0.37656E-09    0.53298E+01    0.14227E+02   -0.77467E-10    0.37656E-09   -0.77467E-10    0.22645E-14
  1194    0.10356E+04    0.58495E+01    0.38472E-09    0.58495E+01    0.14386E+02   -0.80706E-10    0.38472E-09   -0.80706E-10    0.22568E-14
  1195    0.10312E+04    0.63525E+01    0.39294E-09    0.63525E+01    0.14549E+02   -0.83924E-10    0.39294E-09   -0.83924E-10    0.22491E-14
  1196    0.10267E+04    0.68384E+01    0.40123E-09    0.68384E+01    0.14715E+02   -0.87120E-10    0.40123E-09   -0.87120E-10    0.22414E-14
  1197    0.10222E+04    0.73074E+01    0.40958E-09    0.73074E+01    0.14883E+02   -0.90295E-10    0.40958E-09   -0.90295E-10    0.22338E-14
  1198    0.10176E+04    0.77582E+01    0.41799E-09    0.77582E+01    0.15054E+02   -0.93447E-10    0.41799E-09   -0.93447E-10    0.22262E-14
  1199    0.10131E+04    0.81929E+01    0.42646E-09    0.81929E+01    0.15228E+02   -0.96578E-10    0.42646E-09   -0.96578E-10    0.22186E-14
  1200    0.10084E+04    0.86100E+01    0.43498E-09    0.86100E+01    0.15404E+02   -0.99687E-10    0.43498E-09   -0.99687E-10    0.22111E-14
  1201    0.10039E+04    0.90088E+01    0.44356E-09    0.90088E+01    0.15582E+02   -0.10277E-09    0.44356E-09   -0.10277E-09    0.22035E-14
  1202    0.99913E+03    0.93907E+01    0.45219E-09    0.93907E+01    0.15764E+02   -0.10584E-09    0.45219E-09   -0.10584E-09    0.21961E-14
  1203    0.99448E+03    0.97542E+01    0.46086E-09    0.97542E+01    0.15947E+02   -0.10888E-09    0.46086E-09   -0.10888E-09    0.21886E-14
  1204    0.98975E+03    0.10100E+02    0.46955E-09    0.10100E+02    0.16133E+02   -0.11190E-09    0.46955E-09   -0.11190E-09    0.21812E-14
  1205    0.98501E+03    0.10427E+02    0.47826E-09    0.10427E+02    0.16319E+02   -0.11489E-09    0.47826E-09   -0.11489E-09    0.21738E-14
  1206    0.98027E+03    0.10737E+02    0.48699E-09    0.10737E+02    0.16509E+02   -0.11786E-09    0.48699E-09   -0.11786E-09    0.21664E-14
  1207    0.97560E+03    0.11027E+02    0.49571E-09    0.11027E+02    0.16700E+02   -0.12080E-09    0.49571E-09   -0.12080E-09    0.21591E-14
  1208    0.97085E+03    0.11301E+02    0.50443E-09    0.11301E+02    0.16893E+02   -0.12372E-09    0.50443E-09   -0.12372E-09    0.21518E-14
  1209    0.96603E+03    0.11556E+02    0.51313E-09    0.11556E+02    0.17088E+02   -0.12661E-09    0.51313E-09   -0.12661E-09    0.21445E-14
  1210    0.96127E+03    0.11791E+02    0.52180E-09    0.11791E+02    0.17284E+02   -0.12948E-09    0.52180E-09   -0.12948E-09    0.21373E-14
  1211    0.95644E+03    0.12008E+02    0.53044E-09    0.12008E+02    0.17482E+02   -0.13232E-09    0.53044E-09   -0.13232E-09    0.21301E-14
  1212    0.95168E+03    0.12208E+02    0.53904E-09    0.12208E+02    0.17681E+02   -0.13513E-09    0.53904E-09   -0.13513E-09    0.21229E-14
  1213    0.94683E+03    0.12389E+02    0.54758E-09    0.12389E+02    0.17881E+02   -0.13792E-09    0.54758E-09   -0.13792E-09    0.21157E-14
  1214    0.94206E+03    0.12551E+02    0.55606E-09    0.12551E+02    0.18083E+02   -0.14067E-09    0.55606E-09   -0.14067E-09    0.21086E-14
  1215    0.93728E+03    0.12694E+02    0.56447E-09    0.12694E+02    0.18286E+02   -0.14340E-09    0.56447E-09   -0.14340E-09    0.21015E-14
  1216    0.93250E+03    0.12819E+02    0.57280E-09    0.12819E+02    0.18490E+02   -0.14610E-09    0.57280E-09   -0.14610E-09    0.20944E-14
  1217    0.92757E+03    0.12925E+02    0.58104E-09    0.12925E+02    0.18695E+02   -0.14876E-09    0.58104E-09   -0.14876E-09    0.20874E-14
  1218    0.92278E+03    0.13012E+02    0.58919E-09    0.13012E+02    0.18902E+02   -0.15140E-09    0.58919E-09   -0.15140E-09    0.20804E-14
  1219    0.91792E+03    0.13082E+02    0.59722E-09    0.13082E+02    0.19108E+02   -0.15401E-09    0.59722E-09   -0.15401E-09    0.20734E-14
  1220    0.91312E+03    0.13132E+02    0.60514E-09    0.13132E+02    0.19315E+02   -0.15659E-09    0.60514E-09   -0.15659E-09    0.20664E-14
  1221    0.90832E+03    0.13165E+02    0.61293E-09    0.13165E+02    0.19522E+02   -0.15913E-09    0.61293E-09   -0.15913E-09    0.20595E-14
  1222    0.90351E+03    0.13178E+02    0.62059E-09    0.13178E+02    0.19730E+02   -0.16164E-09    0.62059E-09   -0.16164E-09    0.20526E-14
  1223    0.89870E+03    0.13174E+02    0.62810E-09    0.13174E+02    0.19939E+02   -0.16412E-09    0.62810E-09   -0.16412E-09    0.20457E-14
  1224    0.89389E+03    0.13149E+02    0.63547E-09    0.13149E+02    0.20147E+02   -0.16657E-09    0.63547E-09   -0.16657E-09    0.20389E-14
  1225    0.88914E+03    0.13107E+02    0.64267E-09    0.13107E+02    0.20356E+02   -0.16899E-09    0.64267E-09   -0.16899E-09    0.20321E-14
  1226    0.88440E+03    0.13047E+02    0.64970E-09    0.13047E+02    0.20565E+02   -0.17137E-09    0.64970E-09   -0.17137E-09    0.20253E-14
  1227    0.87972E+03    0.12968E+02    0.65654E-09    0.12968E+02    0.20774E+02   -0.17371E-09    0.65654E-09   -0.17371E-09    0.20185E-14
  1228    0.87496E+03    0.12872E+02    0.66321E-09    0.12872E+02    0.20983E+02   -0.17602E-09    0.66321E-09   -0.17602E-09    0.20118E-14
  1229    0.87027E+03    0.12757E+02    0.66967E-09    0.12757E+02    0.21191E+02   -0.17830E-09    0.66967E-09   -0.17830E-09    0.20051E-14
  1230    0.86543E+03    0.12625E+02    0.67592E-09    0.12625E+02    0.21399E+02   -0.18053E-09    0.67592E-09   -0.18053E-09    0.19984E-14
  1231    0.86074E+03    0.12475E+02    0.68196E-09    0.12475E+02    0.21607E+02   -0.18274E-09    0.68196E-09   -0.18274E-09    0.19917E-14
  1232    0.85604E+03    0.12308E+02    0.68778E-09    0.12308E+02    0.21814E+02   -0.18490E-09    0.68778E-09   -0.18490E-09    0.19851E-14
  1233    0.85148E+03    0.12122E+02    0.69336E-09    0.12122E+02    0.22022E+02   -0.18703E-09    0.69336E-09   -0.18703E-09    0.19785E-14
  1234    0.84685E+03    0.11920E+02    0.69869E-09    0.11920E+02    0.22228E+02   -0.18912E-09    0.69869E-09   -0.18912E-09    0.19719E-14
  1235    0.84250E+03    0.11700E+02    0.70378E-09    0.11700E+02    0.22434E+02   -0.19117E-09    0.70378E-09   -0.19117E-09    0.19654E-14
  1236    0.83801E+03    0.11463E+02    0.70860E-09    0.11463E+02    0.22638E+02   -0.19319E-09    0.70860E-09   -0.19319E-09    0.19589E-14
  1237    0.83351E+03    0.11209E+02    0.71315E-09    0.11209E+02    0.22841E+02   -0.19516E-09    0.71315E-09   -0.19516E-09    0.19524E-14
  1238    0.82908E+03    0.10937E+02    0.71742E-09    0.10937E+02    0.23044E+02   -0.19710E-09    0.71742E-09   -0.19710E-09    0.19459E-14
  1239    0.82465E+03    0.10649E+02    0.72141E-09    0.10649E+02    0.23245E+02   -0.19899E-09    0.72141E-09   -0.19899E-09    0.19395E-14
  1240    0.82021E+03    0.10345E+02    0.72509E-09    0.10345E+02    0.23446E+02   -0.20085E-09    0.72509E-09   -0.20085E-09    0.19330E-14
  1241    0.81591E+03    0.10024E+02    0.72847E-09    0.10024E+02    0.23644E+02   -0.20266E-09    0.72847E-09   -0.20266E-09    0.19267E-14
  1242    0.81154E+03    0.96886E+01    0.73154E-09    0.96886E+01    0.23843E+02   -0.20443E-09    0.73154E-09   -0.20443E-09    0.19203E-14
  1243    0.80724E+03    0.93349E+01    0.73428E-09    0.93349E+01    0.24038E+02   -0.20616E-09    0.73428E-09   -0.20616E-09    0.19139E-14
  1244    0.80300E+03    0.89670E+01    0.73668E-09    0.89670E+01    0.24233E+02   -0.20785E-09    0.73668E-09   -0.20785E-09    0.19076E-14
  1245    0.79884E+03    0.85831E+01    0.73874E-09    0.85831E+01    0.24427E+02   -0.20949E-09    0.73874E-09   -0.20949E-09    0.19013E-14
  1246    0.79467E+03    0.81850E+01    0.74045E-09    0.81850E+01    0.24617E+02   -0.21109E-09    0.74045E-09   -0.21109E-09    0.18951E-14
  1247    0.79050E+03    0.77711E+01    0.74180E-09    0.77711E+01    0.24807E+02   -0.21265E-09    0.74180E-09   -0.21265E-09    0.18888E-14
  1248    0.78639E+03    0.73420E+01    0.74278E-09    0.73420E+01    0.24994E+02   -0.21416E-09    0.74278E-09   -0.21416E-09    0.18826E-14
  1249    0.78236E+03    0.68986E+01    0.74338E-09    0.68986E+01    0.25182E+02   -0.21562E-09    0.74338E-09   -0.21562E-09    0.18764E-14
  1250    0.77839E+03    0.64408E+01    0.74359E-09    0.64408E+01    0.25365E+02   -0.21705E-09    0.74359E-09   -0.21705E-09    0.18703E-14
  1251    0.77442E+03    0.59686E+01    0.74341E-09    0.59686E+01    0.25546E+02   -0.21842E-09    0.74341E-09   -0.21842E-09    0.18641E-14
  1252    0.77060E+03    0.54823E+01    0.74285E-09    0.54823E+01    0.25726E+02   -0.21975E-09    0.74285E-09   -0.21975E-09    0.18580E-14
  1253    0.76670E+03    0.49825E+01    0.74192E-09    0.49825E+01    0.25903E+02   -0.22104E-09    0.74192E-09   -0.22104E-09    0.18519E-14
  1254    0.76286E+03    0.44693E+01    0.74064E-09    0.44693E+01    0.26078E+02   -0.22228E-09    0.74064E-09   -0.22228E-09    0.18458E-14
  1255    0.75910E+03    0.39427E+01    0.73903E-09    0.39427E+01    0.26251E+02   -0.22348E-09    0.73903E-09   -0.22348E-09    0.18398E-14
  1256    0.75548E+03    0.34035E+01    0.73711E-09    0.34035E+01    0.26420E+02   -0.22463E-09    0.73711E-09   -0.22463E-09    0.18337E-14
  1257    0.75185E+03    0.28516E+01    0.73489E-09    0.28516E+01    0.26588E+02   -0.22574E-09    0.73489E-09   -0.22574E-09    0.18277E-14
  1258    0.74823E+03    0.22874E+01    0.73238E-09    0.22874E+01    0.26752E+02   -0.22681E-09    0.73238E-09   -0.22681E-09    0.18218E-14
  1259    0.74467E+03    0.17112E+01    0.72961E-09    0.17112E+01    0.26914E+02   -0.22784E-09    0.72961E-09   -0.22784E-09    0.18158E-14
  1260    0.74118E+03    0.11233E+01    0.72659E-09    0.11233E+01    0.27073E+02   -0.22883E-09    0.72659E-09   -0.22883E-09    0.18099E-14
  1261    0.73776E+03    0.52394E+00    0.72333E-09    0.52394E+00    0.27230E+02   -0.22977E-09    0.72333E-09   -0.22977E-09    0.18040E-14
  1262    0.73442E+03   -0.86393E-01    0.71986E-09   -0.86393E-01    0.27384E+02   -0.23068E-09    0.71986E-09   -0.23068E-09    0.17981E-14
  1263    0.73114E+03   -0.70771E+00    0.71618E-09   -0.70771E+00    0.27534E+02   -0.23155E-09    0.71618E-09   -0.23155E-09    0.17922E-14
  1264    0.72786E+03   -0.13397E+01    0.71232E-09   -0.13397E+01    0.27682E+02   -0.23237E-09    0.71232E-09   -0.23237E-09    0.17864E-14
  1265    0.72472E+03   -0.19820E+01    0.70829E-09   -0.19820E+01    0.27827E+02   -0.23316E-09    0.70829E-09   -0.23316E-09    0.17806E-14
  1266    0.72158E+03   -0.26340E+01    0.70411E-09   -0.26340E+01    0.27968E+02   -0.23391E-09    0.70411E-09   -0.23391E-09    0.17748E-14
  1267    0.71852E+03   -0.32958E+01    0.69980E-09   -0.32958E+01    0.28106E+02   -0.23463E-09    0.69980E-09   -0.23463E-09    0.17690E-14
  1268    0.71553E+03   -0.39671E+01    0.69536E-09   -0.39671E+01    0.28242E+02   -0.23531E-09    0.69536E-09   -0.23531E-09    0.17633E-14
  1269    0.71262E+03   -0.46470E+01    0.69083E-09   -0.46470E+01    0.28373E+02   -0.23595E-09    0.69083E-09   -0.23595E-09    0.17575E-14
  1270    0.70975E+03   -0.53365E+01    0.68620E-09   -0.53365E+01    0.28500E+02   -0.23655E-09    0.68620E-09   -0.23655E-09    0.17518E-14
  1271    0.70695E+03   -0.60339E+01    0.68151E-09   -0.60339E+01    0.28625E+02   -0.23712E-09    0.68151E-09   -0.23712E-09    0.17462E-14
  1272    0.70421E+03   -0.67393E+01    0.67676E-09   -0.67393E+01    0.28747E+02   -0.23766E-09    0.67676E-09   -0.23766E-09    0.17405E-14
  1273    0.70152E+03   -0.74527E+01    0.67197E-09   -0.74527E+01    0.28864E+02   -0.23816E-09    0.67197E-09   -0.23816E-09    0.17349E-14
  1274    0.69890E+03   -0.81733E+01    0.66717E-09   -0.81733E+01    0.28977E+02   -0.23863E-09    0.66717E-09   -0.23863E-09    0.17292E-14
  1275    0.69635E+03   -0.89004E+01    0.66236E-09   -0.89004E+01    0.29088E+02   -0.23906E-09    0.66236E-09   -0.23906E-09    0.17237E-14
  1276    0.69386E+03   -0.96348E+01    0.65756E-09   -0.96348E+01    0.29195E+02   -0.23946E-09    0.65756E-09   -0.23946E-09    0.17181E-14
  1277    0.69143E+03   -0.10375E+02    0.65279E-09   -0.10375E+02    0.29298E+02   -0.23983E-09    0.65279E-09   -0.23983E-09    0.17125E-14
  1278    0.68908E+03   -0.11122E+02    0.64806E-09   -0.11122E+02    0.29397E+02   -0.24017E-09    0.64806E-09   -0.24017E-09    0.17070E-14
  1279    0.68679E+03   -0.11874E+02    0.64339E-09   -0.11874E+02    0.29492E+02   -0.24048E-09    0.64339E-09   -0.24048E-09    0.17015E-14
