#    L    TT             EE             BB             TE             PP             TP             EP          
    85    0.22021E+04    0.51603E+00    0.00000E+00   -0.13368E+02    0.10164E-06    0.52902E-03   -0.49439E-06
    86    0.22297E+04    0.53054E+00    0.00000E+00   -0.13947E+02    0.10099E-06    0.52121E-03   -0.55301E-06
    87    0.22577E+04    0.54509E+00    0.00000E+00   -0.14531E+02    0.10033E-06    0.51364E-03   -0.61914E-06
    88    0.22856E+04    0.55970E+00    0.00000E+00   -0.15122E+02    0.99678E-07    0.50630E-03   -0.68758E-06
    89    0.23139E+04    0.57435E+00    0.00000E+00   -0.15720E+02    0.99029E-07    0.49916E-03   -0.75316E-06
    90    0.23424E+04    0.58899E+00    0.00000E+00   -0.16322E+02    0.98383E-07    0.49221E-03   -0.81071E-06
    91    0.23711E+04    0.60363E+00    0.00000E+00   -0.16930E+02    0.97740E-07    0.48542E-03   -0.85608E-06
    92    0.24000E+04    0.61825E+00    0.00000E+00   -0.17542E+02    0.97101E-07    0.47878E-03   -0.88922E-06
    93    0.24292E+04    0.63285E+00    0.00000E+00   -0.18159E+02    0.96464E-07    0.47230E-03   -0.91111E-06
    94    0.24585E+04    0.64738E+00    0.00000E+00   -0.18780E+02    0.95831E-07    0.46597E-03   -0.92272E-06
    95    0.24881E+04    0.66185E+00    0.00000E+00   -0.19404E+02    0.95202E-07    0.45978E-03   -0.92503E-06
    96    0.25176E+04    0.67625E+00    0.00000E+00   -0.20032E+02    0.94576E-07    0.45373E-03   -0.91901E-06
    97    0.25476E+04    0.69055E+00    0.00000E+00   -0.20662E+02    0.93953E-07    0.44781E-03   -0.90562E-06
    98    0.25778E+04    0.70476E+00    0.00000E+00   -0.21293E+02    0.93334E-07    0.44202E-03   -0.88585E-06
    99    0.26080E+04    0.71883E+00    0.00000E+00   -0.21927E+02    0.92718E-07    0.43635E-03   -0.86066E-06
   100    0.26386E+04    0.73277E+00    0.00000E+00   -0.22560E+02    0.92106E-07    0.43080E-03   -0.83102E-06
   101    0.26693E+04    0.74664E+00    0.00000E+00   -0.23195E+02    0.91498E-07    0.42537E-03   -0.79790E-06
   102    0.27005E+04    0.76029E+00    0.00000E+00   -0.23830E+02    0.90894E-07    0.42005E-03   -0.76227E-06
   103    0.27316E+04    0.77379E+00    0.00000E+00   -0.24466E+02    0.90293E-07    0.41483E-03   -0.72510E-06
   104    0.27630E+04    0.78715E+00    0.00000E+00   -0.25099E+02    0.89696E-07    0.40971E-03   -0.68735E-06
   105    0.27944E+04    0.80029E+00    0.00000E+00   -0.25731E+02    0.89103E-07    0.40469E-03   -0.65000E-06
   106    0.28262E+04    0.81329E+00    0.00000E+00   -0.26362E+02    0.88514E-07    0.39976E-03   -0.61400E-06
   107    0.28578E+04    0.82600E+00    0.00000E+00   -0.26990E+02    0.87929E-07    0.39492E-03   -0.58032E-06
   108    0.28898E+04    0.83849E+00    0.00000E+00   -0.27615E+02    0.87348E-07    0.39015E-03   -0.54993E-06
   109    0.29219E+04    0.85069E+00    0.00000E+00   -0.28237E+02    0.86771E-07    0.38547E-03   -0.52380E-06
   110    0.29541E+04    0.86260E+00    0.00000E+00   -0.28854E+02    0.86198E-07    0.38086E-03   -0.50288E-06
   111    0.29865E+04    0.87430E+00    0.00000E+00   -0.29467E+02    0.85629E-07    0.37632E-03   -0.48791E-06
   112    0.30190E+04    0.88571E+00    0.00000E+00   -0.30075E+02    0.85065E-07    0.37184E-03   -0.47866E-06
   113    0.30518E+04    0.89684E+00    0.00000E+00   -0.30678E+02    0.84505E-07    0.36743E-03   -0.47468E-06
   114    0.30846E+04    0.90760E+00    0.00000E+00   -0.31275E+02    0.83949E-07    0.36309E-03   -0.47552E-06
   115    0.31176E+04    0.91815E+00    0.00000E+00   -0.31864E+02    0.83397E-07    0.35882E-03   -0.48070E-06
   116    0.31506E+04    0.92826E+00    0.00000E+00   -0.32446E+02    0.82850E-07    0.35461E-03   -0.48979E-06
   117    0.31840E+04    0.93802E+00    0.00000E+00   -0.33020E+02    0.82306E-07    0.35047E-03   -0.50233E-06
   118    0.32174E+04    0.94756E+00    0.00000E+00   -0.33587E+02    0.81767E-07    0.34639E-03   -0.51785E-06
   119    0.32509E+04    0.95675E+00    0.00000E+00   -0.34144E+02    0.81232E-07    0.34238E-03   -0.53590E-06
   120    0.32844E+04    0.96542E+00    0.00000E+00   -0.34691E+02    0.80701E-07    0.33844E-03   -0.55604E-06
   121    0.33180E+04    0.97389E+00    0.00000E+00   -0.35228E+02    0.80174E-07    0.33456E-03   -0.57779E-06
   122    0.33517E+04    0.98185E+00    0.00000E+00   -0.35755E+02    0.79651E-07    0.33074E-03   -0.60072E-06
   123    0.33854E+04    0.98937E+00    0.00000E+00   -0.36272E+02    0.79133E-07    0.32699E-03   -0.62436E-06
   124    0.34191E+04    0.99654E+00    0.00000E+00   -0.36775E+02    0.78619E-07    0.32330E-03   -0.64827E-06
   125    0.34529E+04    0.10033E+01    0.00000E+00   -0.37266E+02    0.78108E-07    0.31967E-03   -0.67198E-06
   126    0.34867E+04    0.10097E+01    0.00000E+00   -0.37746E+02    0.77602E-07    0.31611E-03   -0.69504E-06
   127    0.35205E+04    0.10155E+01    0.00000E+00   -0.38213E+02    0.77100E-07    0.31261E-03   -0.71701E-06
   128    0.35543E+04    0.10210E+01    0.00000E+00   -0.38666E+02    0.76602E-07    0.30917E-03   -0.73742E-06
   129    0.35881E+04    0.10261E+01    0.00000E+00   -0.39105E+02    0.76109E-07    0.30580E-03   -0.75582E-06
   130    0.36219E+04    0.10306E+01    0.00000E+00   -0.39529E+02    0.75619E-07    0.30248E-03   -0.77176E-06
   131    0.36557E+04    0.10347E+01    0.00000E+00   -0.39939E+02    0.75133E-07    0.29923E-03   -0.78490E-06
   132    0.36896E+04    0.10384E+01    0.00000E+00   -0.40333E+02    0.74652E-07    0.29604E-03   -0.79531E-06
   133    0.37233E+04    0.10416E+01    0.00000E+00   -0.40712E+02    0.74174E-07    0.29290E-03   -0.80317E-06
   134    0.37571E+04    0.10444E+01    0.00000E+00   -0.41073E+02    0.73701E-07    0.28982E-03   -0.80868E-06
   135    0.37908E+04    0.10467E+01    0.00000E+00   -0.41418E+02    0.73232E-07    0.28679E-03   -0.81201E-06
   136    0.38244E+04    0.10484E+01    0.00000E+00   -0.41743E+02    0.72766E-07    0.28382E-03   -0.81336E-06
   137    0.38579E+04    0.10498E+01    0.00000E+00   -0.42052E+02    0.72305E-07    0.28090E-03   -0.81290E-06
   138    0.38914E+04    0.10506E+01    0.00000E+00   -0.42342E+02    0.71847E-07    0.27803E-03   -0.81081E-06
   139    0.39246E+04    0.10512E+01    0.00000E+00   -0.42613E+02    0.71393E-07    0.27520E-03   -0.80730E-06
   140    0.39579E+04    0.10511E+01    0.00000E+00   -0.42865E+02    0.70943E-07    0.27242E-03   -0.80253E-06
   141    0.39910E+04    0.10505E+01    0.00000E+00   -0.43096E+02    0.70497E-07    0.26968E-03   -0.79669E-06
   142    0.40241E+04    0.10495E+01    0.00000E+00   -0.43308E+02    0.70055E-07    0.26698E-03   -0.78997E-06
   143    0.40570E+04    0.10481E+01    0.00000E+00   -0.43500E+02    0.69617E-07    0.26433E-03   -0.78255E-06
   144    0.40898E+04    0.10461E+01    0.00000E+00   -0.43671E+02    0.69182E-07    0.26171E-03   -0.77461E-06
   145    0.41224E+04    0.10439E+01    0.00000E+00   -0.43821E+02    0.68751E-07    0.25913E-03   -0.76635E-06
   146    0.41551E+04    0.10410E+01    0.00000E+00   -0.43950E+02    0.68323E-07    0.25659E-03   -0.75794E-06
   147    0.41874E+04    0.10378E+01    0.00000E+00   -0.44056E+02    0.67899E-07    0.25407E-03   -0.74956E-06
   148    0.42195E+04    0.10341E+01    0.00000E+00   -0.44141E+02    0.67479E-07    0.25159E-03   -0.74140E-06
   149    0.42516E+04    0.10300E+01    0.00000E+00   -0.44203E+02    0.67063E-07    0.24914E-03   -0.73365E-06
   150    0.42834E+04    0.10255E+01    0.00000E+00   -0.44241E+02    0.66650E-07    0.24671E-03   -0.72649E-06
   151    0.43151E+04    0.10206E+01    0.00000E+00   -0.44257E+02    0.66240E-07    0.24432E-03   -0.72006E-06
   152    0.43464E+04    0.10152E+01    0.00000E+00   -0.44249E+02    0.65834E-07    0.24194E-03   -0.71434E-06
   153    0.43777E+04    0.10094E+01    0.00000E+00   -0.44216E+02    0.65432E-07    0.23960E-03   -0.70926E-06
   154    0.44086E+04    0.10034E+01    0.00000E+00   -0.44160E+02    0.65033E-07    0.23728E-03   -0.70478E-06
   155    0.44394E+04    0.99690E+00    0.00000E+00   -0.44080E+02    0.64637E-07    0.23498E-03   -0.70082E-06
   156    0.44698E+04    0.99010E+00    0.00000E+00   -0.43976E+02    0.64245E-07    0.23272E-03   -0.69732E-06
   157    0.45002E+04    0.98295E+00    0.00000E+00   -0.43846E+02    0.63856E-07    0.23047E-03   -0.69422E-06
   158    0.45302E+04    0.97552E+00    0.00000E+00   -0.43691E+02    0.63471E-07    0.22826E-03   -0.69147E-06
   159    0.45599E+04    0.96767E+00    0.00000E+00   -0.43512E+02    0.63089E-07    0.22607E-03   -0.68899E-06
   160    0.45894E+04    0.95954E+00    0.00000E+00   -0.43306E+02    0.62710E-07    0.22390E-03   -0.68673E-06
   161    0.46187E+04    0.95120E+00    0.00000E+00   -0.43076E+02    0.62334E-07    0.22176E-03   -0.68463E-06
   162    0.46477E+04    0.94251E+00    0.00000E+00   -0.42820E+02    0.61962E-07    0.21965E-03   -0.68262E-06
   163    0.46765E+04    0.93355E+00    0.00000E+00   -0.42539E+02    0.61593E-07    0.21756E-03   -0.68064E-06
   164    0.47049E+04    0.92438E+00    0.00000E+00   -0.42232E+02    0.61227E-07    0.21550E-03   -0.67863E-06
   165    0.47331E+04    0.91492E+00    0.00000E+00   -0.41899E+02    0.60865E-07    0.21346E-03   -0.67653E-06
   166    0.47611E+04    0.90534E+00    0.00000E+00   -0.41540E+02    0.60505E-07    0.21145E-03   -0.67428E-06
   167    0.47888E+04    0.89540E+00    0.00000E+00   -0.41156E+02    0.60149E-07    0.20947E-03   -0.67182E-06
   168    0.48160E+04    0.88548E+00    0.00000E+00   -0.40745E+02    0.59796E-07    0.20751E-03   -0.66908E-06
   169    0.48430E+04    0.87528E+00    0.00000E+00   -0.40307E+02    0.59445E-07    0.20557E-03   -0.66601E-06
   170    0.48696E+04    0.86502E+00    0.00000E+00   -0.39843E+02    0.59098E-07    0.20367E-03   -0.66253E-06
   171    0.48958E+04    0.85471E+00    0.00000E+00   -0.39352E+02    0.58754E-07    0.20178E-03   -0.65860E-06
   172    0.49216E+04    0.84426E+00    0.00000E+00   -0.38834E+02    0.58413E-07    0.19993E-03   -0.65415E-06
   173    0.49469E+04    0.83367E+00    0.00000E+00   -0.38290E+02    0.58075E-07    0.19810E-03   -0.64911E-06
   174    0.49719E+04    0.82325E+00    0.00000E+00   -0.37719E+02    0.57740E-07    0.19629E-03   -0.64343E-06
   175    0.49966E+04    0.81269E+00    0.00000E+00   -0.37122E+02    0.57408E-07    0.19451E-03   -0.63704E-06
   176    0.50207E+04    0.80223E+00    0.00000E+00   -0.36497E+02    0.57079E-07    0.19276E-03   -0.62991E-06
   177    0.50444E+04    0.79178E+00    0.00000E+00   -0.35847E+02    0.56753E-07    0.19103E-03   -0.62204E-06
   178    0.50677E+04    0.78156E+00    0.00000E+00   -0.35169E+02    0.56429E-07    0.18932E-03   -0.61347E-06
   179    0.50905E+04    0.77128E+00    0.00000E+00   -0.34465E+02    0.56109E-07    0.18764E-03   -0.60424E-06
   180    0.51130E+04    0.76116E+00    0.00000E+00   -0.33734E+02    0.55791E-07    0.18598E-03   -0.59438E-06
   181    0.51350E+04    0.75119E+00    0.00000E+00   -0.32979E+02    0.55476E-07    0.18434E-03   -0.58392E-06
   182    0.51565E+04    0.74146E+00    0.00000E+00   -0.32196E+02    0.55164E-07    0.18273E-03   -0.57289E-06
   183    0.51775E+04    0.73189E+00    0.00000E+00   -0.31387E+02    0.54854E-07    0.18114E-03   -0.56134E-06
   184    0.51981E+04    0.72255E+00    0.00000E+00   -0.30552E+02    0.54547E-07    0.17956E-03   -0.54929E-06
   185    0.52183E+04    0.71359E+00    0.00000E+00   -0.29693E+02    0.54243E-07    0.17801E-03   -0.53678E-06
   186    0.52377E+04    0.70486E+00    0.00000E+00   -0.28807E+02    0.53942E-07    0.17648E-03   -0.52383E-06
   187    0.52569E+04    0.69651E+00    0.00000E+00   -0.27896E+02    0.53643E-07    0.17497E-03   -0.51050E-06
