#    L    TT             EE             BB             TE          
   334    0.15729E+05    0.14944E+02    0.28323E-01    0.10616E+03
   335    0.15715E+05    0.15115E+02    0.28422E-01    0.10525E+03
   336    0.15700E+05    0.15285E+02    0.28520E-01    0.10431E+03
   337    0.15685E+05    0.15455E+02    0.28618E-01    0.10333E+03
   338    0.15668E+05    0.15622E+02    0.28715E-01    0.10232E+03
   339    0.15650E+05    0.15790E+02    0.28812E-01    0.10128E+03
   340    0.15632E+05    0.15955E+02    0.28908E-01    0.10022E+03
   341    0.15611E+05    0.16118E+02    0.29004E-01    0.99116E+02
   342    0.15590E+05    0.16281E+02    0.29100E-01    0.97981E+02
   343    0.15568E+05    0.16442E+02    0.29195E-01    0.96817E+02
   344    0.15544E+05    0.16600E+02    0.29290E-01    0.95624E+02
   345    0.15518E+05    0.16757E+02    0.29384E-01    0.94402E+02
   346    0.15492E+05    0.16913E+02    0.29478E-01    0.93159E+02
   347    0.15463E+05    0.17066E+02    0.29572E-01    0.91878E+02
   348    0.15434E+05    0.17216E+02    0.29666E-01    0.90569E+02
   349    0.15402E+05    0.17366E+02    0.29759E-01    0.89231E+02
   350    0.15369E+05    0.17512E+02    0.29853E-01    0.87871E+02
   351    0.15335E+05    0.17657E+02    0.29946E-01    0.86482E+02
   352    0.15299E+05    0.17800E+02    0.30039E-01    0.85063E+02
   353    0.15261E+05    0.17940E+02    0.30131E-01    0.83631E+02
   354    0.15222E+05    0.18077E+02    0.30224E-01    0.82162E+02
   355    0.15182E+05    0.18213E+02    0.30316E-01    0.80671E+02
   356    0.15140E+05    0.18346E+02    0.30408E-01    0.79166E+02
   357    0.15097E+05    0.18477E+02    0.30500E-01    0.77631E+02
   358    0.15054E+05    0.18604E+02    0.30592E-01    0.76083E+02
   359    0.15009E+05    0.18728E+02    0.30684E-01    0.74505E+02
   360    0.14963E+05    0.18851E+02    0.30776E-01    0.72909E+02
   361    0.14916E+05    0.18970E+02    0.30868E-01    0.71290E+02
   362    0.14868E+05    0.19087E+02    0.30960E-01    0.69652E+02
   363    0.14820E+05    0.19202E+02    0.31052E-01    0.67997E+02
